Authors,Title,Source
"R Xie, L Chen, W Ye, Z Li, T Hu, D Du…",Deeplink: A code knowledge graph based deep learning approach for issue-commit link recovery,"International Conference on Software Analysis, Evolution and Reengineering (SANER)"
"S Wang, D Lo, J Lawall",Compositional vector space models for improved bug localization,International Conference on Software Maintenance and Evolution (ICSME)
"AN Lam, AT Nguyen, HA Nguyen…",Combining deep learning with information retrieval to localize buggy files for bug reports (n),International Conference on Automated Software Engineering (ASE)
"G Yang, B Lee",Utilizing Topic-Based Similar Commit Information and CNN-LSTM Algorithm for Bug Localization,Symmetry
"R Malhotra, S Aggarwal, R Girdhar…",Bug localization in software using NSGA-II,IEEE Symposium on Computer Applications & Industrial Electronics (ISCAIE)
"B Jiang, P Liu, J Xu",A Deep Learning Approach to Locate Buggy Files,"International Conference on Dependable Systems, Services and Technologies (DESSERT)"
"Y Zhou, Y Tong, T Chen, J Han",Augmenting bug localization with part-of-speech and invocation,International Journal of Software Engineering and Knowledge Engineering
"S Eder, H Femmer, B Hauptmann…",Configuring latent semantic indexing for requirements tracing,International Workshop on Requirements Engineering and Testing (RET)
"Y Zhang, D Lo, X Xia, TDB Le…",Inferring links between concerns and methods with multi-abstraction vector space model,International Conference on Software Maintenance and Evolution (ICSME)
"R Gharibi, AH Rasekh, MH Sadreddini…",Leveraging textual properties of bug reports to localize relevant source files,Information Processing & Management
"G Capobianco, AD Lucia, R Oliveto, ...",Improving IR‐based traceability recovery via noun‐based indexing of software artifacts,Journal of Software Maintenance and Evolution Research and Practice
"A Di Thommazo, T Ribeiro, G Olivatto, ...",An automatic approach to detect traceability links using fuzzy logic,Brazilian Symposium on Software Engineering (SBES)
"T Dasgupta, M Grechanik, E Moritz, B Dit, ...",Enhancing software traceability by automatically expanding corpora with relevant documentation,International Conference on Software Maintenance and Evolution (ICSME)
"A Panichella, B Dit, R Oliveto, ...",How to effectively use topic models for software engineering tasks? an approach based on genetic algorithms,International Conference on Software Engineering (ICSE)
"Y Li, J Cleland-Huang",Ontology-based trace retrieval,International Workshop on Traceability in Emerging Forms of Software Engineering (TEFSE)
"R Shokripour, J Anvik, ZM Kasirun, ...",Why so complicated? simple term filtering and weighting for location-based bug report assignment recommendation,International Conference on Mining Software Repositories (MSR)
"M Borg, D Pfahl, P Runeson",Analyzing networks of issue reports,European Conference on Software Maintenance and Reengineering (CSMR)
"D Poshyvanyk, M Gethers, A Marcus",Concept location using formal concept analysis and information retrieval,ACM Transactions on Software Engineering and Methodology
P. Berta,Employing issues and commits for in-code sentence based use case identification and remodularization,European Conference on the Engineering of Computer-Based Systems (ECBS)
Jing-Xuan ZhangChuan-Qi TaoZhi-Qiu HuangXin Chen,Discovering API Directives from API Specifications with Text Classification,Journal of Computer Science and Technology
